City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Lorengau,PG,-2.0226,147.2712,82.69,77,89,7.7,moderate rain
214,East London,ZA,-33.0153,27.9116,71.98,91,100,5.57,overcast clouds
215,Sagaing,MM,21.8787,95.9797,55.58,76,0,0.0,clear sky
216,Las Varas,MX,21.1667,-105.1667,83.68,67,0,2.57,clear sky
217,Muros,ES,42.7762,-9.0603,57.09,90,100,15.14,overcast clouds
218,Klaksvik,FO,62.2266,-6.589,34.72,94,100,19.1,overcast clouds
219,Irmo,US,34.086,-81.1832,51.51,58,40,0.0,scattered clouds
220,Morros,BR,-9.4467,-46.3003,75.06,82,82,2.04,broken clouds
221,Balkanabat,TM,39.5108,54.3671,39.87,48,31,7.07,scattered clouds
222,Sedniv,UA,51.6447,31.565,31.19,93,66,6.55,broken clouds
223,Kayerkan,RU,69.3497,87.7602,-17.16,81,40,3.22,scattered clouds
224,Suhaia,RO,43.7333,25.25,34.59,74,9,4.21,clear sky
225,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.63,87,85,10.29,overcast clouds
226,Abilene,US,32.4487,-99.7331,67.5,31,0,20.71,clear sky
227,Muscat,OM,23.6139,58.5922,64.42,58,0,4.9,clear sky
228,Alofi,NU,-19.0595,-169.9187,84.09,70,75,10.36,broken clouds
229,Chaupimarca,PE,-10.4333,-76.5333,39.06,93,100,4.23,overcast clouds
230,Kenai,US,60.5544,-151.2583,35.02,95,100,10.36,mist
231,Staryy Nadym,RU,65.6118,72.6842,-15.81,99,71,10.42,broken clouds
232,Taybad,IR,34.74,60.7756,33.19,65,4,10.11,clear sky
233,Thunder Bay,CA,48.4001,-89.3168,20.55,89,100,12.66,snow
234,Karasjok,NO,69.4719,25.5112,10.51,100,78,3.38,broken clouds
235,Palmer,US,42.1584,-72.3287,22.03,65,20,1.99,few clouds
236,Kasongo,CD,-4.45,26.6667,67.53,99,100,2.82,light rain
237,La Primavera,CO,5.4906,-70.4092,81.99,47,86,5.57,overcast clouds
238,Paamiut,GL,61.994,-49.6678,-3.69,93,100,8.05,overcast clouds
239,Ilulissat,GL,69.2167,-51.1,1.42,78,100,5.75,overcast clouds
240,San Quintin,MX,30.4833,-115.95,57.22,82,96,10.16,overcast clouds
241,Nyurba,RU,63.2842,118.3319,-23.21,98,81,2.84,broken clouds
242,Longyearbyen,SJ,78.2186,15.6401,17.44,86,75,3.44,broken clouds
243,Aksha,RU,50.2814,113.2867,-8.93,89,30,2.75,scattered clouds
244,Palmas,BR,-10.2128,-48.3603,80.47,83,40,3.44,thunderstorm
245,Ambovombe,MG,-25.1667,46.0833,75.51,85,1,16.69,clear sky
246,Bosaso,SO,11.2842,49.1816,69.3,66,7,2.46,clear sky
247,Klaebu,NO,63.2976,10.4826,30.45,87,98,6.73,overcast clouds
248,Oranjemund,NA,-28.55,16.4333,65.25,95,71,11.39,broken clouds
