City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Coos Bay,US,2022-02-11 19:13:20,43.3665,-124.2179,56.14,71,0,0.0
119,San Jose,US,2022-02-11 19:12:11,37.3394,-121.895,75.85,47,20,3.44
120,Abu Samrah,SY,2022-02-11 19:13:21,35.3029,37.1841,48.38,63,0,4.52
121,Avarua,CK,2022-02-11 19:13:21,-21.2078,-159.775,78.85,89,0,8.05
122,Airai,TL,2022-02-11 19:12:50,-8.9266,125.4092,60.67,94,100,0.98
123,Port Elizabeth,ZA,2022-02-11 19:13:22,-33.918,25.5701,67.08,80,0,2.24
124,Shirokiy,RU,2022-02-11 19:13:22,49.758,129.523,3.76,96,100,7.16
125,Cockburn Town,TC,2022-02-11 19:13:23,21.4612,-71.1419,78.01,78,0,18.19
126,Bida,NG,2022-02-11 19:13:23,9.0833,6.0167,85.96,8,38,4.23
127,Casablanca,MA,2022-02-11 19:13:24,33.5928,-7.6192,59.76,82,75,4.61
128,Bredasdorp,ZA,2022-02-11 19:13:24,-34.5322,20.0403,64.27,83,5,4.09
